	precision	recall	f1-score	support
Low German (nds)	0.8666666666666667	0.91	0.8878048780487805	200.0
West Low German (nds-nl)	0.6794871794871795	0.795	0.7327188940092165	200.0
Nepali (macrolanguage) (nep)	0.6824324324324325	0.505	0.5804597701149427	200.0
Newari (new)	0.9253731343283582	0.7948717948717948	0.8551724137931035	78.0
Dutch (nld)	0.8594594594594595	0.795	0.825974025974026	200.0
Norwegian Nynorsk (nno)	0.8383838383838383	0.83	0.8341708542713568	200.0
Bokmål (nob)	0.7063829787234043	0.83	0.7632183908045977	200.0
Narom (nrm)	0.952054794520548	0.695	0.8034682080924856	200.0
Northern Sotho (nso)	0.7925311203319502	0.955	0.8662131519274375	200.0
Occitan (oci)	0.8248175182481752	0.5678391959798995	0.6726190476190477	199.0
Livvi-Karelian (olo)	0.8537735849056604	0.905	0.8786407766990291	200.0
Oriya (ori)	0.9947643979057592	0.95	0.9718670076726342	200.0
Oromo (orm)	0.9553072625698324	0.8592964824120602	0.9047619047619048	199.0
Ossetian (oss)	0.9893048128342246	0.9438775510204082	0.9660574412532638	196.0
Pangasinan (pag)	0.9819277108433735	0.815	0.8907103825136612	200.0
Pampanga (pam)	0.9558823529411765	0.625	0.755813953488372	104.0
Panjabi (pan)	1.0	0.99	0.9949748743718593	200.0
Papiamento (pap)	0.9082125603864735	0.94	0.9238329238329238	200.0
Picard (pcd)	0.7232704402515723	0.5808080808080808	0.6442577030812324	198.0
Pennsylvania German (pdc)	0.7419354838709677	0.6934673366834171	0.7168831168831169	199.0
Palatine German (pfl)	0.7976190476190477	0.67	0.7282608695652173	200.0
Western Panjabi (pnb)	0.9444444444444444	0.9689119170984456	0.9565217391304347	193.0
Polish (pol)	0.9246231155778895	0.92	0.9223057644110277	200.0
Portuguese (por)	0.7488789237668162	0.835	0.789598108747045	200.0
Pushto (pus)	0.9894179894179894	0.9396984924623115	0.9639175257731958	199.0
Quechua (que)	0.7410358565737052	0.93	0.8248337028824834	200.0
Tarantino dialect (roa-tara)	0.9230769230769231	0.9	0.9113924050632911	200.0
Romansh (roh)	0.9024390243902439	0.925	0.9135802469135802	200.0
Romanian (ron)	0.967391304347826	0.89	0.9270833333333334	200.0
Rusyn (rue)	0.9545454545454546	0.8442211055276382	0.896	199.0
Aromanian (rup)	0.9534883720930233	0.82	0.8817204301075269	200.0
Russian (rus)	0.644	0.805	0.7155555555555555	200.0
Yakut (sah)	0.9738219895287958	0.93	0.9514066496163682	200.0
